# F for Fada, C for Circé, Q for Quantum, V for Valla, then spaces, then ": "
CQ   : a peur
C    : joue du piano
FQ   : fait le koala 
FQV  : explore le toit
QV   : joue à la baston
CQV  : se fait tripoter
CFQV : fait sa toilette
CFV  : boit dans la mare
F    : fuit les éboueurs
C    : dort dans le hamac
F    : fait des galipettes
C    : fait de la dentelle
FQ   : joue avec la souris
C    : s'étire près du feu
FQ   : dit bonjour aux pies
CFQV : mange des croquettes
CQ   : se cache sous le lit
Q    : est partout à la fois
FQ   : a des yeux de nautilus
CV   : dort au fond du placard
F    : gratte sous son collier
CQV  : attaque les brins d'herbe
F    : guette au coin du couloir
F    : songe sur le toit du chat
CF   : boxe à travers la chatière
F    : joue à chat avec les maîtres
QV   : laisse ses pattes pendouiller
FQV  : met de l'ordre dans le doudou
F    : dort en crevette auprès du feu
FQV  : fais la sieste dans la véranda
F    : court après l'eau du jet d'eau
FV   : fait la sieste dans le potager
Q    : arpente les ponts de la véranda
QV   : dort dans les jambes des maîtres
F    : n'aime pas le vent qui rend fou
FQV  : est tartifletté sur le carrelage
FV   : joue dehors avec les autres chats
Q    : escalade le grillage de la véranda
V    : fait penduler tête, pattes et queue
V    : pendouille sur l'escabeau du bureau
F    : remue les papiers dans la corbeille
CV   : veut être de l'autre côté de la porte
F    : fait des ronrons sur la table à câlins
CV   : regarde l'eau s'écouler dans le lavabo
FV   : se fait brosser sur la table à repasser
F    : deterre les plantations de la maîtresse
CFV  : ronronne sur les genoux de la maîtresse
CQV  : surveille la maison du haut du secrétaire
Q    : course l'écureuil dans les arbres du jardin
C    : rapporte un oiseau dans la maison pour jouer
FV   : range le secrétaire en mettant tout par terre
CV   : attend la brosse du matin dans la salle de bain
Q    : fait un gros câlin sur l'épaule de la maîtresse
CFQV : attend devant la chatière l'arrivée d'un portier
Q    : fait le Secret des Poignards Volants dans la haie
F    : toise le monde du haut de la cheminée du barbecue
F    : fait un gros Waeuh en rentrant au milieu de la nuit
V    : fait des miout dans la salle de bain pour se faire brosser
